model,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_precision_weighted,test_recall_weighted,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,best_cv_accuracy
extra_trees_phase4,0.9514884233737596,0.5428571428571428,0.9623238689322187,0.5548989898989899,0.9538348185661129,0.523752321441397,0.5170099834805717,0.5858627087198516,0.5428571428571428,1.1615677349814273,0.9857142857142858,0.9857142857142858,0.12527788226164116,0.4300824971247158,0.5457409993321596
rf_phase4,0.7166482910694597,0.5285714285714286,0.7783725941372004,0.5215656565656566,0.7073056949513782,0.5127324263038548,0.49230158730158735,0.613095238095238,0.5285714285714286,1.3585554691960255,0.9857142857142858,0.9857142857142858,0.18772328920644846,0.19457326864752333,0.5369255054337927
xgboost_phase4,0.545755237045204,0.5,0.4014354418445755,0.5212121212121212,0.4999173329303338,0.4309239374071306,0.42389295998119525,0.41322433518862095,0.5,1.5212692790320088,0.7857142857142857,0.7857142857142857,0.12185876497200554,0.06899339552320322,0.5214619634509138
logreg_phase4,0.9239250275633958,0.42857142857142855,0.9417285346391592,0.4452525252525253,0.9238957094527872,0.4156293286545388,0.4057900922606805,0.47717163788592365,0.42857142857142855,1.3360898153115541,0.8857142857142857,0.9571428571428572,0.0916380001834552,0.5082663807982484,0.5083237204784166
