model_run,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,train_log_loss,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,fit_gap_log_loss,generalization_score,best_cv_accuracy,search_stage,model,selected_for_deploy
catboost_gen_full,0.681367144432194,0.5285714285714286,0.6706703708419431,0.5062114845938376,0.5045588235294118,0.5558080808080808,0.5430952380952382,0.5285714285714286,1.1525158046176411,1.4220421898659532,0.9714285714285714,0.9714285714285714,0.23473686529681279,0.16445888624810556,0.2695263852483121,0.4874567070094022,0.5281226852754279,full,catboost_gen,True
catboost_gen_fast,0.8511576626240352,0.5142857142857142,0.8463230610242702,0.5007017320484812,0.4933940801200863,0.5406565656565656,0.5353741496598641,0.5142857142857142,0.7715777103230087,1.294274580056872,1.0,1.0,0.16046796071558264,0.345621328975789,0.5226968697338633,0.427880382041767,0.5281567970059646,fast,catboost_gen,False
stacking_gen_fast,0.9283351708930541,0.4857142857142857,0.9279322512003892,0.4808483393357343,0.4631232492997198,0.49989898989898995,0.5725819418676562,0.4857142857142857,0.3916910903735609,1.1803071291716747,0.9428571428571428,0.9857142857142858,0.21079632431134443,0.44708391186465496,0.7886160387981138,0.37394330774812196,0.49836751003859503,fast,stacking_gen,False
xgb_gen_full,0.5600882028665931,0.42857142857142855,0.5257264185541538,0.3749612432385541,0.3693172024054377,0.45398989898989905,0.3666117216117216,0.42857142857142855,1.0761887203611884,1.256883042216243,0.9428571428571428,1.0,0.04561475600515093,0.1507651753155997,0.18069432185505452,0.39088013474252864,0.5204183072784687,full,xgb_gen,False
xgb_gen_fast,0.7045203969128997,0.42857142857142855,0.6941709250919853,0.38360771581359815,0.3790508021390374,0.45712121212121204,0.37277777777777776,0.42857142857142855,0.8361316165003052,1.1683769615954216,0.9857142857142858,1.0,0.10393847014222825,0.31056320927838715,0.3322453450951164,0.35093062625183175,0.5226453159720869,fast,xgb_gen,False
