match_id,scorecard_url,squads_url
0,https://www.cricbuzz.com/live-cricket-scorecard/0/vs,https://www.cricbuzz.com/cricket-match-squads/0/match
2168,https://www.cricbuzz.com/live-cricket-scorecard/2168/kenya-vs-new-zealand,https://www.cricbuzz.com/cricket-match-squads/2168/match
2181,https://www.cricbuzz.com/live-cricket-scorecard/2181/ireland-vs-england,https://www.cricbuzz.com/cricket-match-squads/2181/match
2187,https://www.cricbuzz.com/live-cricket-scorecard/2187/england-vs-south-africa,https://www.cricbuzz.com/cricket-match-squads/2187/match
3188,https://www.cricbuzz.com/live-cricket-scorecard/3188/australia-vs-india,https://www.cricbuzz.com/cricket-match-squads/3188/match
3199,https://www.cricbuzz.com/live-cricket-scorecard/3199/india-vs-sri-lanka,https://www.cricbuzz.com/cricket-match-squads/3199/match
3622,https://www.cricbuzz.com/live-cricket-scorecard/3622/india-vs-england,https://www.cricbuzz.com/cricket-match-squads/3622/match
3649,https://www.cricbuzz.com/live-cricket-scorecard/3649/india-vs-england,https://www.cricbuzz.com/cricket-match-squads/3649/match
3704,https://www.cricbuzz.com/live-cricket-scorecard/3704/asia-xi-vs-africa-xi,https://www.cricbuzz.com/cricket-match-squads/3704/match
3747,https://www.cricbuzz.com/live-cricket-scorecard/3747/australia-vs-india,https://www.cricbuzz.com/cricket-match-squads/3747/match
3844,https://www.cricbuzz.com/live-cricket-scorecard/3844/india-vs-pakistan,https://www.cricbuzz.com/cricket-match-squads/3844/match
3881,https://www.cricbuzz.com/live-cricket-scorecard/3881/india-vs-south-africa,https://www.cricbuzz.com/cricket-match-squads/3881/match
4835,https://www.cricbuzz.com/live-cricket-scorecard/4835/australia-vs-india,https://www.cricbuzz.com/cricket-match-squads/4835/match
5916,https://www.cricbuzz.com/live-cricket-scorecard/5916/south-africa-vs-india,https://www.cricbuzz.com/cricket-match-squads/5916/match
5965,https://www.cricbuzz.com/live-cricket-scorecard/5965/india-vs-australia,https://www.cricbuzz.com/cricket-match-squads/5965/match
6299,https://www.cricbuzz.com/live-cricket-scorecard/6299/pakistan-vs-india,https://www.cricbuzz.com/cricket-match-squads/6299/match
