match_id,scorecard_url,squads_url,scraped_at_utc,match_title,team1,team2,venue,match_date,result_text,winner,win_margin,toss_text,team1_name,team2_name,team1_xi,team2_xi,team1_subs,team2_subs
149732,https://www.cricbuzz.com/live-cricket-scorecard/149732/match,https://www.cricbuzz.com/cricket-match-squads/149732/match,2026-04-06T13:43:26.014149+00:00,"Kolkata Knight Riders vs Punjab Kings, 12th Match, Indian Premier League 2026 - Scorecard",Kolkata Knight Riders,Punjab Kings,Eden Gardens,,,,,,Cricket match squads | Kolkata Knight Riders,Punjab,"[""Finn Allen Batter"", ""Ajinkya Rahane (C) Batter"", ""Cameron Green Batting Allrounder"", ""Angkrish Raghuvanshi (WK) Batter"", ""Rovman Powell Batter"", ""Rinku Singh Batter"", ""Ramandeep Singh Batting Allrounder"", ""Anukul Roy Batting Allrounder"", ""Navdeep Saini Bowler"", ""Vaibhav Arora Bowler"", ""Kartik Tyagi Bowler""]","[""Prabhsimran Singh (WK) WK-Batter"", ""Shreyas Iyer (C) Batter"", ""Cooper Connolly Batting Allrounder"", ""Nehal Wadhera Batter"", ""Shashank Singh Batting Allrounder"", ""Marcus Stoinis Batting Allrounder"", ""Marco Jansen Bowling Allrounder"", ""Xavier Bartlett Bowler"", ""Vijaykumar Vyshak Bowler"", ""Arshdeep Singh Bowler"", ""Yuzvendra Chahal Bowler""]","[""Blessing Muzarabani Bowler"", ""Manish Pandey Batter"", ""Tejasvi Dahiya WK-Batter"", ""Rahul Tripathi Batter"", ""Saurabh Dubey Bowler"", ""Priyansh Arya Batter"", ""Vishnu Vinod WK-Batter"", ""Suryansh Shedge Batting Allrounder"", ""Praveen Dubey Bowling Allrounder"", ""Harpreet Brar Bowler"", ""Sunil Narine Bowling Allrounder"", ""Varun Chakaravarthy Bowler"", ""Tim Seifert WK-Batter"", ""Sarthak Ranjan Batter"", ""Rachin Ravindra Batting Allrounder"", ""Prashant Solanki Bowler"", ""Matheesha Pathirana Bowler"", ""Umran Malik Bowler"", ""Daksh Kamra Bowling Allrounder""]","[""Yash Thakur Bowler"", ""Azmatullah Omarzai Bowling Allrounder"", ""Ben Dwarshuis Bowler"", ""Lockie Ferguson Bowler"", ""Mitchell Owen Batting Allrounder"", ""Harnoor Singh Batter"", ""Musheer Khan Batting Allrounder"", ""Pyla Avinash Batter"", ""Vishal Nishad Bowler"", ""Abhishek Nayar Head coach"", ""Shane Watson Assistant Coach"", ""Dwayne Bravo Mentor"", ""Tim Southee Bowling Coach"", ""Andre Russell Power Batting Coach"", ""Dishant Yagnik Fielding Coach"", ""Ricky Ponting Head Coach"", ""Brad Haddin Assistant Coach"", ""Sairaj Bahutule Spin Bowling Coach"", ""James Hopes Fast Bowling Coach""]"
149743,https://www.cricbuzz.com/live-cricket-scorecard/149743/match,https://www.cricbuzz.com/cricket-match-squads/149743/match,2026-04-07T13:47:51.791557+00:00,"Rajasthan Royals vs Mumbai Indians, 13th Match, Indian Premier League 2026 - Scorecard",Rajasthan Royals,Mumbai Indians,Barsapara Cricket Stadium,,,,,,Cricket match squads | Rajasthan Royals,Mumbai,"[""Dhruv Jurel (WK) WK-Batter"", ""Riyan Parag (C) Batting Allrounder"", ""Yashasvi Jaiswal Batter"", ""Vaibhav Sooryavanshi Batter"", ""Shimron Hetmyer Batter"", ""Donovan Ferreira WK-Batter"", ""Ravindra Jadeja Bowling Allrounder"", ""Jofra Archer Bowler"", ""Nandre Burger Bowler"", ""Tushar Deshpande Bowler"", ""Sandeep Sharma Bowler""]","[""Ravi Bishnoi Bowler"", ""Lhuan-dre Pretorius WK-Batter"", ""Brijesh Sharma Bowler"", ""Ravi Singh WK-Batter"", ""Shubham Dubey Batter"", ""Adam Milne Bowler"", ""Dasun Shanaka Batting Allrounder"", ""Kuldeep Sen Bowler"", ""Sushant Mishra Bowler"", ""Yudhvir Singh Charak Bowler"", ""Kwena Maphaka Bowler""]","[""Vignesh Puthur Bowler"", ""Aman Rao Perala Batter"", ""Ryan Rickelton (WK) WK-Batter"", ""Suryakumar Yadav (C) Batter"", ""Rohit Sharma Batter"", ""Tilak Varma Batter"", ""Sherfane Rutherford Batting Allrounder"", ""Naman Dhir Batter"", ""Mitchell Santner Bowling Allrounder"", ""Corbin Bosch Bowling Allrounder"", ""Shardul Thakur Bowling Allrounder"", ""Deepak Chahar Bowler"", ""Jasprit Bumrah Bowler"", ""Mayank Markande Bowler"", ""Trent Boult Bowler"", ""Robin Minz WK-Batter"", ""Raj Bawa Batting Allrounder"", ""Ashwani Kumar Bowler""]","[""Hardik Pandya Batting Allrounder"", ""Quinton de Kock WK-Batter"", ""Will Jacks Batting Allrounder"", ""Mayank Rawat Batting Allrounder"", ""Raghu Sharma Bowler"", ""Atharva Ankolekar Bowling Allrounder"", ""AM Ghazanfar Bowler"", ""Danish Malewar Batter"", ""Mohammed Salahuddin Izhar Bowler"", ""Kumar Sangakkara Head Coach"", ""Vikram Rathour Lead Assistant Coach"", ""Trevor Penney Assistant Coach"", ""Shane Bond Bowling Coach"", ""Mahela Jayawardene Head coach"", ""Kieron Pollard Batting Coach"", ""Lasith Malinga Bowling Coach"", ""Jagadeesh Arunkumar Assistant Batting Coach"", ""Carl Hopkinson Fielding Coach""]"
149746,https://www.cricbuzz.com/live-cricket-scorecard/149746/match,https://www.cricbuzz.com/cricket-match-squads/149746/match,2026-04-08T13:37:20.663470+00:00,"Delhi Capitals vs Gujarat Titans, 14th Match, Indian Premier League 2026 - Scorecard",Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,,,,,,Cricket match squads | Delhi Capitals,Gujarat,"[""KL Rahul (WK) WK-Batter"", ""Axar Patel (C) Bowling Allrounder"", ""Pathum Nissanka Batter"", ""Nitish Rana Batter"", ""Sameer Rizvi Batter"", ""David Miller Batter"", ""Tristan Stubbs WK-Batter"", ""Vipraj Nigam Bowler"", ""Lungi Ngidi Bowler"", ""Kuldeep Yadav Bowler"", ""T Natarajan Bowler""]","[""Mukesh Kumar Bowler"", ""Ashutosh Sharma Batting Allrounder"", ""Auqib Nabi Dar Bowling Allrounder"", ""Dushmantha Chameera Bowler"", ""Karun Nair Batter"", ""Mitchell Starc Bowler"", ""Kyle Jamieson Bowler"", ""Ajay Jadav Mandal Bowling Allrounder"", ""Prithvi Shaw Batter"", ""Tripurana Vijay Bowling Allrounder"", ""Abishek Porel WK-Batter""]","[""Sahil Parakh Batter"", ""Madhav Tiwari Bowling Allrounder"", ""Jos Buttler (WK) WK-Batter"", ""Rashid Khan (C) Bowling Allrounder"", ""Sai Sudharsan Batter"", ""Kumar Kushagra WK-Batter"", ""Glenn Phillips WK-Batter"", ""Washington Sundar Bowling Allrounder"", ""Rahul Tewatia Bowling Allrounder"", ""Shahrukh Khan Batter"", ""Kagiso Rabada Bowler"", ""Ashok Sharma Bowler"", ""Mohammed Siraj Bowler"", ""Prasidh Krishna Bowler"", ""Jason Holder Bowling Allrounder"", ""Manav Suthar Bowling Allrounder"", ""Anuj Rawat WK-Batter"", ""Jayant Yadav Bowler"", ""Shubman Gill Batter""]","[""Luke Wood Bowler"", ""Ravisrinivasan Sai Kishore Bowling Allrounder"", ""Tom Banton WK-Batter"", ""Kulwant Khejroliya Bowler"", ""Arshad Khan Bowling Allrounder"", ""Gurnoor Brar Bowler"", ""Nishant Sindhu Batting Allrounder"", ""Ishant Sharma Bowler"", ""Hemang Badani Head coach"", ""Ian Bell Assistant Coach"", ""Munaf Patel Bowling coach"", ""John Mooney Fielding Coach"", ""Vijay Dahiya Assistant Coach"", ""Ashish Nehra Head coach"", ""Matthew Hayden Batting coach"", ""Naeem Amin Fast Bowling Coach"", ""Narender Negi Fielding coach"", ""Aashish Kapoor Spin Bowling Coach"", ""Parthiv Patel Wicket-keeping Coach""]"
149757,https://www.cricbuzz.com/live-cricket-scorecard/149757/match,https://www.cricbuzz.com/cricket-match-squads/149757/match,2026-04-09T13:44:51.329228+00:00,"Kolkata Knight Riders vs Lucknow Super Giants, 15th Match, Indian Premier League 2026 - Scorecard",Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,,,,,,Cricket match squads | Kolkata Knight Riders,Lucknow,"[""Ajinkya Rahane (C) Batter"", ""Finn Allen Batter"", ""Cameron Green Batting Allrounder"", ""Angkrish Raghuvanshi (WK) Batter"", ""Rinku Singh Batter"", ""Rovman Powell Batter"", ""Ramandeep Singh Batting Allrounder"", ""Anukul Roy Batting Allrounder"", ""Sunil Narine Bowling Allrounder"", ""Navdeep Saini Bowler"", ""Kartik Tyagi Bowler""]","[""Mitchell Marsh Batting Allrounder"", ""Aiden Markram Batter"", ""Rishabh Pant (C & WK) WK-Batter"", ""Nicholas Pooran WK-Batter"", ""Abdul Samad Batting Allrounder"", ""Mukul Choudhary WK-Batter"", ""Manimaran Siddharth Bowler"", ""Avesh Khan Bowler"", ""Mohammed Shami Bowler"", ""Digvesh Singh Rathi Bowler"", ""Prince Yadav Bowler""]","[""Manish Pandey Batter"", ""Vaibhav Arora Bowler"", ""Tejasvi Dahiya WK-Batter"", ""Rahul Tripathi Batter"", ""Tim Seifert WK-Batter"", ""Ayush Badoni Batting Allrounder"", ""Matthew Breetzke WK-Batter"", ""Shahbaz Ahmed Bowling Allrounder"", ""Mayank Prabhu Yadav Bowler"", ""Himmat Singh Batter"", ""Blessing Muzarabani Bowler"", ""Saurabh Dubey Bowler"", ""Sarthak Ranjan Batter"", ""Rachin Ravindra Batting Allrounder"", ""Prashant Solanki Bowler"", ""Varun Chakaravarthy Bowler"", ""Matheesha Pathirana Bowler"", ""Umran Malik Bowler"", ""Daksh Kamra Bowling Allrounder""]","[""Anrich Nortje Bowler"", ""Akshat Raghuwanshi Batter"", ""Josh Inglis WK-Batter"", ""Naman Tiwari Bowler"", ""Arshin Kulkarni Batting Allrounder"", ""Akash Maharaj Singh Bowler"", ""Arjun Tendulkar Bowling Allrounder"", ""Mohsin Khan Bowler"", ""Wanindu Hasaranga Bowling Allrounder"", ""Abhishek Nayar Head coach"", ""Shane Watson Assistant Coach"", ""Dwayne Bravo Mentor"", ""Tim Southee Bowling Coach"", ""Andre Russell Power Batting Coach"", ""Dishant Yagnik Fielding Coach"", ""Justin Langer Head Coach"", ""Lance Klusener Assistant coach"", ""Kane Williamson Strategic Advisor"", ""Bharat Arun Bowling Coach"", ""Carl Crowe Spin Bowling Coach""]"
