model,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,generalization_score,best_cv_accuracy
xgb_gen,0.525909592061742,0.5571428571428572,0.48032549379813433,0.4909616020321172,0.48062964316161255,0.5791919191919193,0.7857142857142857,0.7857142857142857,0.24178788193634582,-0.010636108233982866,0.5571428571428572,0.5237022645862425
extra_trees_gen,0.782800441014333,0.5857142857142857,0.7789327926242994,0.5790828747153381,0.5463163376011673,0.563989898989899,1.0,1.0,0.28319297963650736,0.19984991790896123,0.5457443021324935,0.5479388015299617
rf_gen,0.6879823594266814,0.5571428571428572,0.6749644119469542,0.542139276763337,0.5254594820384294,0.5506565656565656,0.9571428571428572,0.9857142857142858,0.254241145600494,0.13282513518361727,0.5305778301061337,0.5413271811061866
