iter	Logloss
0	0.6892121299
1	0.6828234464
2	0.6749476924
3	0.6681617263
4	0.6638597861
5	0.6591937518
6	0.6536693773
7	0.6471738333
8	0.6427316123
9	0.6369369019
10	0.6324903327
11	0.6266908892
12	0.6229962884
13	0.6178873557
14	0.614799903
15	0.6113529167
16	0.6098018857
17	0.6070132762
18	0.6038922176
19	0.6018013278
20	0.5996652171
21	0.5960202532
22	0.5938668932
23	0.5899699552
24	0.587268606
25	0.5846252959
26	0.5812796071
27	0.5781852602
28	0.5754948014
29	0.5716228728
30	0.5708055346
31	0.5692515814
32	0.5657979557
33	0.5623751677
34	0.5603776289
35	0.5566785287
36	0.5535670189
37	0.5514906526
38	0.5483130102
39	0.5437620722
40	0.5418318979
41	0.5383718753
42	0.5348260567
43	0.5323501683
44	0.5315834437
45	0.5311545949
46	0.5299628378
47	0.526573881
48	0.5259708373
49	0.5240435352
50	0.5217959807
51	0.520927767
52	0.5208964163
53	0.5195047674
54	0.5177062902
55	0.5141697956
56	0.5116026784
57	0.5107619623
58	0.5081469459
59	0.507348128
60	0.5061054057
61	0.5038924367
62	0.5037680323
63	0.5030510765
64	0.5012101533
65	0.4995334517
66	0.4979505045
67	0.4955531525
68	0.4930841323
69	0.4913567369
70	0.487640951
71	0.4873002875
72	0.485321033
73	0.4820719316
74	0.4790390703
75	0.4779036078
76	0.4762719146
77	0.4726392163
78	0.4707030266
79	0.4694430691
80	0.4684452194
81	0.466052409
82	0.4646656156
83	0.4644973018
84	0.4628357769
85	0.4614124626
86	0.4608841761
87	0.4592172117
88	0.4583727426
89	0.4577506124
90	0.4561990273
91	0.4552074134
92	0.4520869874
93	0.4505265773
94	0.4494169335
95	0.448151827
96	0.447159752
97	0.4463477024
98	0.4451073012
99	0.4434427103
100	0.4423270238
101	0.4417265928
102	0.4392973635
103	0.4378109993
104	0.4350857891
105	0.4338518009
106	0.4338518004
107	0.4327878226
108	0.4313024494
109	0.4290932907
110	0.4274162024
111	0.4261069894
112	0.4253309368
113	0.4253309364
114	0.4242656111
115	0.4224388164
116	0.421200323
117	0.41903975
118	0.4180724266
119	0.4168898411
120	0.4156165935
121	0.4152847108
122	0.4152115046
123	0.4145448784
124	0.4128124459
125	0.4116732728
126	0.4101542561
127	0.409157035
128	0.4080112657
129	0.407264527
130	0.4048030796
131	0.4040262269
132	0.4024943351
133	0.4021789719
134	0.4009239905
135	0.4001640516
136	0.3985171223
137	0.3971063063
138	0.3964061312
139	0.3952924332
140	0.3943107571
141	0.39423178
142	0.3935939772
143	0.3924259081
144	0.3906394234
145	0.3895376169
146	0.3888777286
147	0.3872283045
148	0.3859905378
149	0.3853996018
150	0.3842890674
151	0.382653169
152	0.3818238123
153	0.3814470184
154	0.3800734395
155	0.3784626764
156	0.3770952067
157	0.376178163
158	0.3751591882
159	0.3740371269
160	0.3725821139
161	0.3716553611
162	0.3703844649
163	0.3692668025
164	0.3681570328
165	0.3664539254
166	0.3647888833
167	0.3637378248
168	0.362362785
169	0.3616247785
170	0.3604061803
171	0.3593156683
172	0.3582448625
173	0.3581137282
174	0.3573052926
175	0.355727623
176	0.3543381345
177	0.3537072313
178	0.3530935305
179	0.3514582922
180	0.3503758417
181	0.3496331456
182	0.3476559787
183	0.3464451984
184	0.3448342283
185	0.3441316804
186	0.3432366525
187	0.3419126635
188	0.3411510493
189	0.3402105129
190	0.3396753722
191	0.3384176181
192	0.3360615249
193	0.3348326905
194	0.3340158284
195	0.3338620856
196	0.3321573566
197	0.3315641655
198	0.3311111679
199	0.3304797303
200	0.3295564912
201	0.3282579306
202	0.3264896339
203	0.3252255374
