model,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,train_log_loss,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,fit_gap_log_loss,generalization_score,best_cv_accuracy
xgb_gen,0.545755237045204,0.5142857142857142,0.5033542341476648,0.44538583221289985,0.4291039486828961,0.5153030303030304,0.4139087301587301,0.5142857142857142,1.2390297697663042,1.483587302624634,0.7857142857142857,0.7857142857142857,0.153119869530201,0.057968401934764935,0.24455753285832982,0.49979361380202303,0.526928391959799
rf_gen,0.7486218302094818,0.5428571428571428,0.7445567512182011,0.5248000412286126,0.5047330447330447,0.5306565656565655,0.5958503401360544,0.5428571428571428,1.4978037276514156,1.7062150151056572,1.0,1.0,0.3161292252428456,0.21975670998958852,0.20841128745424164,0.4879179653597457,0.5219032663316583
stacking_gen,0.7375964718853363,0.5142857142857142,0.7317657030919943,0.5065808887657627,0.48180277239100777,0.5249494949494949,0.5513888888888889,0.5142857142857142,0.5655411544979674,0.9969694507770573,0.9428571428571428,0.9857142857142858,0.15325918192491766,0.2251848143262316,0.43142829627908996,0.45798951070415633,0.5031972361809045
catboost_gen,0.7287761852260198,0.4857142857142857,0.7212303198467613,0.45566431724898543,0.4302873169291933,0.49267676767676766,0.50649247577819,0.4857142857142857,1.102871212863295,1.5361116776647101,0.9142857142857143,0.9142857142857143,0.18495309576447366,0.2655660025977759,0.4332404648014152,0.4193227850648417,0.5031532663316582
lgbm_gen,1.0,0.5,1.0,0.48535353535353537,0.44505050505050503,0.4743939393939394,0.5474211502782932,0.5,0.05131361502097772,0.9664948880391785,1.0,1.0,0.20799021505802937,0.5146464646464646,0.9151812730182007,0.37133838383838386,0.5044095477386934
lr_enet,1.0,0.42857142857142855,1.0,0.41518226134767483,0.377224763540553,0.4214141414141414,0.4565862708719851,0.42857142857142855,0.1686032377807887,1.2606893289631624,0.9142857142857143,0.9714285714285714,0.2605634550270069,0.5848177386523252,1.0920860911823738,0.28236699390834724,0.5019786432160804
