model,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,train_log_loss,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,fit_gap_log_loss,generalization_score,best_cv_accuracy
stacking_gen,0.7739801543550165,0.5857142857142857,0.7701640072446998,0.5851818670051753,0.5486950330371382,0.5864141414141415,0.6831648113790971,0.5857142857142857,0.5239820104806375,0.8913904782434195,0.9714285714285714,1.0,0.1315997036465433,0.18498214023952453,0.367408467762782,0.5394687506544046,0.5082389937106918
xgb_gen,0.538037486218302,0.5142857142857142,0.501030219393675,0.4446840778269349,0.42897635697635694,0.5162121212121213,0.4143416305916305,0.5142857142857142,1.2434094164296692,1.4799854607201475,0.7857142857142857,0.7857142857142857,0.15475954392126626,0.05634614156674006,0.2365760442904783,0.5001991788940292,0.5181603773584906
catboost_gen,0.7221609702315325,0.5428571428571428,0.7134180301438254,0.5078516843040044,0.4814454726858819,0.5393434343434343,0.55497557997558,0.5428571428571428,1.107992763415118,1.5602139078851414,0.9,0.9,0.24166295959361367,0.20556634583982103,0.45222114447002326,0.4914655563971876,0.5194889937106918
rf_gen,0.7497243660418964,0.5142857142857142,0.7432791592129744,0.4971728563833826,0.4756113769271663,0.5015656565656565,0.5345408163265305,0.5142857142857142,1.4644736732321466,1.6667891953671419,1.0,1.0,0.2736069110079922,0.24610630282959178,0.20231552213499526,0.4527591385783163,0.5507940251572327
lr_enet,0.9614112458654906,0.45714285714285713,0.9613445622414744,0.4616264687693259,0.427024087024087,0.45474747474747473,0.5201927437641723,0.45714285714285713,0.34375079965229866,0.9733288464284846,0.9714285714285714,1.0,0.1856883505851327,0.49971809347214846,0.629578046776186,0.33221333377482,0.479308176100629
lgbm_gen,1.0,0.44285714285714284,1.0,0.4255192927373378,0.3906034316560632,0.4232828282828283,0.4354586683158112,0.44285714285714284,0.07089147940274079,0.97350781648902,1.0,1.0,0.23930587281036778,0.5744807072626622,0.9026163370862792,0.2992369660414773,0.5319732704402516
