model,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_precision_weighted,test_recall_weighted,fit_gap_weighted_f1,best_cv_weighted_f1
random_forest,0.7402597402597403,0.5135135135135135,0.8045993771584867,0.5069788797061524,0.7320358697423173,0.48820434055997397,0.4648397598097178,0.5191977691977693,0.5135135135135135,0.2438315291823433,0.5126749614230485
xgboost,0.9989177489177489,0.4864864864864865,0.9950980392156863,0.45918273645546376,0.9989041842920948,0.48469458469458465,0.4321345321345321,0.5248283998283998,0.4864864864864865,0.5142095995975102,0.49879366768479433
logistic_regression,1.0,0.4189189189189189,1.0,0.4473829201101927,1.0,0.3939988878069373,0.38252528345407605,0.42441094941094937,0.4189189189189189,0.6060011121930626,0.49554736224572427
