model,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,train_log_loss,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,fit_gap_log_loss,generalization_score,best_cv_accuracy,selected_for_deploy
xgb_gen,0.5369349503858876,0.5428571428571428,0.5015470243668798,0.47894010751153604,0.4606893106893106,0.5408585858585859,0.444865491651206,0.5428571428571428,1.2456388259984519,1.4900123119601236,0.7857142857142857,0.7857142857142857,0.18430285453796383,0.022606916855343773,0.24437348596167174,0.5372054136433069,0.524428391959799,True
rf_gen,0.7298787210584344,0.5428571428571428,0.7233443551698728,0.5249979385693672,0.5105844155844156,0.5415656565656566,0.6235714285714287,0.5428571428571428,1.0399446179142966,1.3748527852442773,0.9714285714285714,0.9714285714285714,0.25424878714283083,0.19834641660050567,0.33490816732998074,0.4932705387070164,0.5181595477386934,False
stacking_gen,0.9503858875413451,0.5428571428571428,0.9502852778732453,0.5416620284477427,0.5070454545454546,0.543080808080808,0.6385487528344671,0.5428571428571428,0.3862166114577847,1.0627997899858277,0.9571428571428572,1.0,0.11278311368324828,0.40862324942550265,0.676583178528043,0.44070133050076715,0.49817211055276384,False
catboost_gen,0.8996692392502756,0.5142857142857142,0.8944972996004923,0.4992489694933305,0.4727763318552792,0.5043434343434343,0.5634446505875077,0.5142857142857142,0.7163521775297296,1.3547509075239528,0.9428571428571428,0.9571428571428572,0.15862176813999782,0.3952483301071618,0.6383987299942232,0.41547363175892377,0.5181909547738693,False
lr_enet,0.9702315325248071,0.5,0.9702229052764905,0.5000139772508193,0.4681230319388214,0.4964141414141414,0.5342630385487528,0.5,0.32816155171630484,0.9898990782073656,0.9857142857142858,1.0,0.18874307774990856,0.47020892802567116,0.6617375264910608,0.3824477679935822,0.4818969849246232,False
lgbm_gen,1.0,0.4857142857142857,1.0,0.4721541950113379,0.43746031746031744,0.464949494949495,0.4975108225108225,0.4857142857142857,0.051726827884026806,0.9613816078743864,1.0,1.0,0.19977475357467134,0.5278458049886621,0.9096547799903596,0.3537528344671202,0.49187814070351754,False
