model,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,train_log_loss,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,fit_gap_log_loss,generalization_score,best_cv_accuracy
xgb_gen,0.5446527012127894,0.5142857142857142,0.505343660575944,0.4446840778269349,0.42897635697635694,0.5162121212121213,0.4143416305916305,0.5142857142857142,1.2438606427504248,1.4822483766257364,0.7857142857142857,0.7857142857142857,0.1706208177975246,0.06065958274900912,0.23838773387531154,0.49912081859846197,0.5244158291457286
rf_gen,0.7552370452039692,0.5428571428571428,0.7489333939998646,0.521530015514978,0.511282372598162,0.5587878787878787,0.6054160125588697,0.5428571428571428,1.4304350943342292,1.6805493976894077,1.0,1.0,0.3232632372623951,0.22740337848488656,0.2501143033551785,0.4860062982359212,0.4993781407035176
stacking_gen,0.7850055126791621,0.5428571428571428,0.7827940956399853,0.5545916739901702,0.5127827143616617,0.5343939393939394,0.611077097505669,0.5428571428571428,0.5270062425380622,0.9027348599634147,0.9714285714285714,1.0,0.10823327621153478,0.22820242164981508,0.3757286174253526,0.48580653744468905,0.47808417085427135
catboost_gen,1.0,0.5285714285714286,1.0,0.512520068633514,0.5112008742891095,0.5563636363636363,0.5473051948051948,0.5285714285714286,0.33023251324366587,1.2085003729130108,0.9857142857142858,1.0,0.13296171492318168,0.48747993136648604,0.878267859669345,0.40670144572980704,0.5068592964824121
lgbm_gen,1.0,0.45714285714285713,1.0,0.4575075884850321,0.42781583913162863,0.44752525252525255,0.49875283446712015,0.45714285714285713,0.05163005436885731,0.9616686606856851,1.0,1.0,0.24945527011654706,0.5424924115149679,0.9100386063168279,0.32151975426411517,0.49314070351758793
lr_enet,0.9514884233737596,0.42857142857142855,0.9514260372529387,0.42546817217869853,0.39558445940024883,0.4276767676767676,0.46612554112554105,0.42857142857142855,0.3627187905818381,0.9382980629232455,0.9857142857142858,1.0,0.20726442814963292,0.5259578650742402,0.5755792723414074,0.2970819623028685,0.47812185929648243
