Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Match_Winner
336016,2008-05-12,Punjab Kings vs Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,0.75,0.4,0.3333333333333333,-0.33333333333333337,Punjab Kings
336017,2008-05-13,Kolkata Knight Riders vs Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,0.6666666666666666,0.4,0.6,0.19999999999999996,Kolkata Knight Riders
336018,2008-05-14,Mumbai Indians vs Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,0.5,0.6,0.6666666666666666,0.33333333333333326,Mumbai Indians
336021,2008-05-16,Mumbai Indians vs Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,0.6,0.4,0.75,0.5,Mumbai Indians
336022,2008-05-17,Delhi Capitals vs Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,0.75,0.4,0.5,0.0,Punjab Kings
336023,2008-05-17,Rajasthan Royals vs Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,1.0,0.2,0.7142857142857143,0.4285714285714286,Rajasthan Royals
336025,2008-05-18,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,0.75,0.6,0.5,0.0,Chennai Super Kings
336026,2008-05-19,Royal Challengers Bengaluru vs Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,0.2,0.2,0.42857142857142855,-0.1428571428571429,Delhi Capitals
336027,2008-05-20,Kolkata Knight Riders vs Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,0.6,0.4,0.5714285714285714,0.1428571428571428,Rajasthan Royals
336028,2008-05-21,Mumbai Indians vs Punjab Kings,Mumbai Indians,Punjab Kings,Mumbai Indians,field,0.8,0.6,0.8,0.6000000000000001,Punjab Kings
336029,2008-05-21,Chennai Super Kings vs Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,0.6,0.2,0.5714285714285714,0.1428571428571428,Royal Challengers Bengaluru
336033,2008-05-24,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,0.4,0.6,0.5,0.0,Rajasthan Royals
336032,2008-05-24,Delhi Capitals vs Mumbai Indians,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,0.6,0.4,0.5714285714285714,0.1428571428571428,Delhi Capitals
336035,2008-05-25,Kolkata Knight Riders vs Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,0.4,0.8,0.625,0.25,Kolkata Knight Riders
336036,2008-05-26,Rajasthan Royals vs Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,1.0,0.4,0.625,0.25,Rajasthan Royals
336012,2008-05-28,Royal Challengers Bengaluru vs Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,0.2,0.4,0.5,0.0,Mumbai Indians
336019,2008-05-28,Punjab Kings vs Rajasthan Royals,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,1.0,0.8,0.5,0.0,Punjab Kings
336038,2008-05-30,Delhi Capitals vs Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,0.6,0.6,0.6666666666666666,0.33333333333333326,Rajasthan Royals
