model,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_precision_weighted,test_recall_weighted,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,multiclass_brier,fit_gap_weighted_f1,best_cv_weighted_f1
logistic_reg_l2,0.8690476190476191,0.5135135135135135,0.9055871221410068,0.5004132231404959,0.8684821186189289,0.4902407757098833,0.45155627374266855,0.5326345576345577,0.5135135135135135,1.5478560834565074,0.8783783783783784,0.918918918918919,0.23895334722855024,0.7049766948746367,0.3782413429090456,0.4856676452007716
xgboost_reg,0.512987012987013,0.5405405405405406,0.36081471650099567,0.5187786960514233,0.48280658363621676,0.46368562684352155,0.433016425360923,0.42166617166617165,0.5405405405405406,1.582426276786773,0.7837837837837838,0.7972972972972973,0.21795817968007683,0.6712350292905325,0.01912095679269521,0.4572255297955257
random_forest_reg,0.6298701298701299,0.47297297297297297,0.6932214094431721,0.43930211202938474,0.6175927242470823,0.4505910314733844,0.4085575743329754,0.5147361647361646,0.47297297297297297,1.739578036210665,0.8243243243243243,0.918918918918919,0.24793114639167144,0.7512173786443964,0.16700169277369792,0.5077246678542003
