model,train_accuracy,test_accuracy,train_f1_weighted,test_f1_weighted,test_f1_macro,test_balanced_accuracy,test_precision_weighted,test_recall_weighted,train_log_loss,test_log_loss,top2_accuracy,top3_accuracy,calibration_ece,fit_gap_weighted_f1,fit_gap_log_loss,generalization_score,best_cv_accuracy
xgb_gen,0.538037486218302,0.5142857142857142,0.501030219393675,0.4446840778269349,0.42897635697635694,0.5162121212121213,0.4143416305916305,0.5142857142857142,1.2434094164296692,1.4799854607201475,0.7857142857142857,0.7857142857142857,0.15475954392126626,0.05634614156674006,0.2365760442904783,0.5001991788940292,0.5294346733668341
catboost_gen,0.7221609702315325,0.5428571428571428,0.7134180301438254,0.5078516843040044,0.4814454726858819,0.5393434343434343,0.55497557997558,0.5428571428571428,1.107992763415118,1.5602139078851414,0.9,0.9,0.24166295959361367,0.20556634583982103,0.45222114447002326,0.4914655563971876,0.5056972361809045
stacking_gen,0.8500551267916208,0.5428571428571428,0.8476728755600692,0.5478958197191279,0.5090213733634786,0.5386363636363637,0.6637152133580705,0.5428571428571428,0.4909968771368677,1.042016136678797,0.9714285714285714,0.9857142857142858,0.10592398825221896,0.2997770558409413,0.5510192595419293,0.46791287889690747,0.49067211055276383
rf_gen,0.7497243660418964,0.5142857142857142,0.7432791592129744,0.4971728563833826,0.4756113769271663,0.5015656565656565,0.5345408163265305,0.5142857142857142,1.4644736732321466,1.6667891953671419,1.0,1.0,0.2736069110079922,0.24610630282959178,0.20231552213499526,0.4527591385783163,0.5256281407035176
lr_enet,0.9977949283351709,0.5,0.9977884887482315,0.5084304980733552,0.470452047952048,0.49363636363636365,0.6215873015873016,0.5,0.19500935025017008,1.1171921673516334,0.9571428571428572,0.9857142857142858,0.23373037276619732,0.4893579906748763,0.9221828171014633,0.3776605023312809,0.4818969849246231
lgbm_gen,1.0,0.45714285714285713,1.0,0.4417726899372189,0.412318630801603,0.4506565656565657,0.4807823129251701,0.45714285714285713,0.05158032881392724,1.0331568139904475,1.0,1.0,0.2612164629670288,0.558227310062781,0.9815764851765202,0.31758602962716187,0.48687185929648247
